job_title,company,first_seen,search_country,search_position,job_level,job_type,city,state,country,city_state,latitude,longitude,job_skills
Spray Technician,BrightView Landscapes,2024-01-12,United States,Career-Guidance Technician,Associate,Onsite,North Las Vegas,NV,United States,"North Las Vegas, NV",36.289865,-115.089181,"English, Spanish, Chemical Safety, Spraying chemicals, Communication, Following instructions, Basic plant knowledge"
First Year Tax Professional,H&R Block,2024-01-12,United States,Accountant Cost,Mid senior,Onsite,Reno,NV,United States,"Reno, NV",39.549097,-119.849907,"Face to face communication, Tax interviews, Tax returns, Business growth, Teamwork, Sales, Marketing, Customer service, Retail, Fastpaced environment, High school diploma, Continuing education, IRS requirements, 401k Retirement Savings Plan, Employee Stock Purchase Plan, Tax prep benefit, Flexible/remote work, Diversity and inclusion, Company culture, Performancebased pay, Medical coverage, Prescription drug coverage, H&R Block Retirement Savings Plan (401(k) Plan), Employee Assistance Program, Fitness center programs, Associate discount program, Business Travel Accident Insurance, Associate Tax Prep benefit"
Accounts Payable Specialist,Lincoln Group,2024-01-12,United States,Accounting Clerk,Mid senior,Onsite,Henderson,NV,United States,"Henderson, NV",36.008958,-115.0268,"Accounts Payable, HighVolume Processing, Two and ThreeWay Matching, Invoice Processing, Vendor Communication, MonthEnd Closing, Accounting Principles and Practices, Microsoft Office, Excel, ERP Systems, Accounting Software, DetailOriented, Strong Communication, Interpersonal Skills"
Accounts Receivable Clerk,ASK Consulting,2024-01-12,United States,Accounting Clerk,Mid senior,Onsite,Las Vegas,NV,United States,"Las Vegas, NV",36.233499,-115.264037,"Sapphire, SOPs, NSFs, EFT, Microsoft Office Suite, Verbal communication, Problemsolving, Customer service, Attention to detail, Data entry, Account reconciliation, Time management, Accuracy, Collection procedures, Customer relationship management, Monthly statement distribution, Dispute resolution, Cash application, Credit law compliance, Account portfolio management, Independent work, Team work, Professional demeanor, Pressure handling"
Lead Accounts Receivable Clerk,Golden Nugget,2024-01-12,United States,Accounting Clerk,Mid senior,Onsite,Las Vegas,NV,United States,"Las Vegas, NV",36.233499,-115.264037,"Accounts Receivable, Journal Entries, Microsoft Windows, Training, Coaching, Supervision, Interpersonal Communication, Team Motivation, Problem Solving, Analytical Thinking, Multitasking, Organization, Prioritization, Finance, Accounting, Business Administration"
Environmental Scientist II (2798),Navarro Research and Engineering,2024-01-12,United States,Biologist,Mid senior,Onsite,Las Vegas,NV,United States,"Las Vegas, NV",36.233499,-115.264037,"Environmental Science, Groundwater sampling, Drilling, Environmental restoration, NEPA, RCRA, CERCLA, Historic research, Field surveys, Water quality measurements, Instrumentation installation, Data analysis, Microsoft products, Adobe products, OSHA 40Hour HAZWOPER, Rad Work II, DOE facility experience, Physical effort (lifting bending reaching standing walking), Travel, Overtime, Shift work, US citizenship"
Accounts Receivable Clerk,ASK Consulting,2024-01-12,United States,Accounting Clerk,Mid senior,Onsite,Las Vegas,NV,United States,"Las Vegas, NV",36.233499,-115.264037,"Accounts Receivable, Credit Collections, Microsoft Excel, Banking, Customer Portals, Collection, SAPPHIRE, Payment Processing, Reconciliation, Customer Relationship Management, Account Maintenance, Sales Collaboration, Customer Service, Collection Procedures, SOP Compliance, Nevada Credit Law, NSF Handling, Statement Distribution, Dispute Resolution, Independent Work, Problem Solving, Professional Demeanor, Time Management"
Social Services Inspector I/II,Oklahoma Department of Human Services,2024-01-12,United States,Car Inspector,Mid senior,Onsite,Tulsa,OK,United States,"Tulsa, OK",36.127949,-95.902316,"Investigations, Auditing, Social Work, Juvenile Justice, Personnel Administration, Law Enforcement, Child Support Enforcement, Disabilities, OCA Client Case Management System, Post Investigation Activities, Diverse Teams, Bachelor's Degree, Professional Experience"
Accounting Clerk,AppleOne Employment Services,2024-01-12,United States,Accounting Clerk,Mid senior,Onsite,Las Vegas,NV,United States,"Las Vegas, NV",36.233499,-115.264037,"Accounting, Intermediate Excel, Accounting Software, Microsoft Word"
Staff Psychologist (General Mental Health BHIP),U.S. Department of Veterans Affairs,2024-01-12,United States,Art Therapist,Mid senior,Onsite,Reno,NV,United States,"Reno, NV",39.549097,-119.849907,"Psychology, Psychotherapy, Mental Health, Psychiatric Counseling, Patient Care, Clinical Research, Research Execution, Data Acquisition, Medical Documentation, Quality Improvement, Program Evaluation, Supervision, Consultation, Education, Clinical Reminders, CPRS Documentation, Psychological Assessment, Doctoral Degree in Psychology, APA PCSAS CPA Accreditation, Respecialization Program, Regionally Accredited Institution, Professional Psychology Internship, Full Current and Unrestricted Psychology License, Research Participant Relations, Knowledge of Psychological Treatments and Assessment Methods, Ability to Design and Implement Treatment Strategies, Ability to Incorporate New Clinical Procedures, Basic Research Tasks, Clinical Research Literature Knowledge, Physical Requirements"
Volunteer: Vet-to-Vet Companion,VolunteerMatch,2024-01-13,United States,Companion,Associate,Onsite,Tulsa,OK,United States,"Tulsa, OK",36.127949,-95.902316,"Hospice care, Patient care, Social work, Spiritual counseling, Dietary counseling, Physical therapy, Speech therapy, Occupational therapy, Volunteering, Veteran care, Veteran support, Military training, Cultural sensitivity, Honor a veteran, Veteran's affairs, Military experience, Life review, Healing, Palliative care, Endoflife care, Compassion, Empathy, Communication skills, Teamwork, Problemsolving skills, Commitment to quality care"
Cook - Blue Diamond,The Chicken Shack,2024-01-12,United States,Chef,Associate,Onsite,Las Vegas,NV,United States,"Las Vegas, NV",36.233499,-115.264037,"Cooking, Fryers, Organization, Shift work, Time management"
Maternal/OB Clinical Nursing Instructor (part-time),Chamberlain University,2024-01-12,United States,Christian Science Nurse,Associate,Onsite,Las Vegas,NV,United States,"Las Vegas, NV",36.233499,-115.264037,"Clinical teaching, Nursing skills, Nursing procedures, MaternalOB Nursing, Familycentered approaches, Health promotion, Wellness issues, Childbearing cycle, Normal experience, Highrisk factors, Complications, Alterations, Women's health issues, Clinical experiences, Direct supervision, Evaluation of nursing students, Remediation of students, Orients and maintains current knowledge, Develops and posts written clinical assignments, Corrects and returns homework, Contributes to the ongoing development, Didactic course content, Customer service, Collaboration, Communication, Excellence, Dress, Attendance, Professionalism, Relationship skills, Group problem solving, Consensus building, Winwin negotiation, Regulatory rules, Standards, Masters of Science (MSN) in Nursing, Nevada nursing license, Nursing experience, Teaching or precepting experience, Passion for nursing, Education, Lifelong learning, Subject matter expertise, Written and verbal communication skills, Eager to serve students and colleagues, Sense of responsibility, Purpose, Desire to enrich colleagues, Students, Broader community"
Accounting Manager,DataSync,2024-01-12,United States,Accountant Cost,Mid senior,Onsite,Henderson,NV,United States,"Henderson, NV",36.008958,-115.0268,"Accounting, Financial Accounting, Cost Accounting, GAAP, Oracle Netsuite, Microsoft Office Suite, Journal Entries, Reconciliations, Accounts Payable, Accounts Receivable, Inventory, Fixed Assets, Intangible Assets, Bank Reconciliations, Tax Forms, Financial Audits, SOX Audits, Audit Software, Accounting Software, Communication Skills, Organizational Skills, Attention to Detail, Bachelor's in Accounting, Bachelor's in Finance, Excel, Word"
Shift Manager,McDonald's,2024-01-13,United States,Manager Customer Service,Mid senior,Onsite,North Las Vegas,NV,United States,"North Las Vegas, NV",36.289865,-115.089181,"Management, Leadership, Customer Service, Communication, Inventory Management, Maintenance, Quality Control, Scheduling, Education Assistance, Paid Time Off, Paid Training, Free Meals, TeleHealth, Employee Resource Connection, Adoption Assistance, Pretax Spending Accounts"
Travel Radiology Tech - General - Radiology Tech - $2240 weekly,The Hill,2024-01-12,United States,Career-Guidance Technician,Mid senior,Onsite,Tulsa,OK,United States,"Tulsa, OK",36.127949,-95.902316,"General Radiology Tech, Rad Tech, Radiology, Xray, Computed Tomography (CT), Magnetic Resonance Imaging (MRI), Fluoroscopy, ARRT certification, Nomad Navigator support, Digital platform, Cath Lab Tech, DEXA Scan, Interventional Radiology, Fluoroscopy, Housing stipend, Major medical and dental plans, 401(k) with employer matching, Travel reimbursement, Weekly direct deposits"
"Hospice and Palliative Medicine Physician Opportunity, INTEGRIS Health in Oklahoma City, Oklahoma",INTEGRIS Health,2024-01-13,United States,Pediatrician,Mid senior,Onsite,Oklahoma City,OK,United States,"Oklahoma City, OK",35.467079,-97.513657,"Hospice and Palliative Medicine, EPIC EMR, 401(k) / 403(b) retirement, 457(b) retirement, Oklahoma MD or DO license"
"Experienced Diesel Tech/Mechanic in Sparks, NV, USA",Energy Jobline,2024-01-12,United States,Automobile Mechanic,Mid senior,Onsite,Sparks,NV,United States,"Sparks, NV",39.574341,-119.715154,"Diesel Engine Repair, Truck and Trailer Equipment Maintenance, Preventive Maintenance Services"
"***EARN UP TO $1,500/WEEK - FIX CARS AS A MOBILE MECHANIC***",YourMechanic (Acquired),2024-01-12,United States,Automobile Mechanic,Mid senior,Onsite,Tulsa,OK,United States,"Tulsa, OK",36.127949,-95.902316,"Mobile technician, Automotive repair, Car repair, Auto mechanic, Automotive technician, Experienced auto repair mechanic, Automotive tech, Skilled mechanic, Mobile mechanics, Full time mechanics, Part time mechanics, Automotive technician job, Mobile mechanic position, Master mechanics, Master tech, Hiring mobile mechanics, Automotive mechanics hiring, Automotive mechanics flexible hours, Mechanics high pay, Automotive technicians flexible schedule, Looking for mobile mechanics, Honda mechanic, Toyota mechanic, Ford mechanic, Chevrolet mechanic, Nissan mechanic, Dodge mechanic, Hyundai mechanic, Automotive technician hiring, Car maintenance, Car repair job, Dealer, Dealership, BMW, Mercedes, Audi, Volkswagen, VW, Auto repair job, Auto shop, ASE, Timing belt, Oil change"
Automotive Technician,"Monro, Inc.",2024-01-12,United States,Assembler,Associate,Onsite,Las Vegas,NV,United States,"Las Vegas, NV",36.233499,-115.264037,"Automotive Maintenance, Automotive Repair, Automotive Technician, Brakes, Driver's License, ASE Certification, Automotive Inspector License, Automotive Technical School, General Service Technician, Suspension, Tire Installation, Tool Purchase Program, Guest Focused, Team Focused, Leadership Skills, Insurance, Paid Vacation, Holidays, Discounts, Career Advancement"
Senior Accountant,"TapRoot Holdings, Inc",2024-01-12,United States,Accountant Cost,Mid senior,Onsite,North Las Vegas,NV,United States,"North Las Vegas, NV",36.289865,-115.089181,"Accounting, Microsoft Excel, QuickBooks, Cost Accounting, Finance, Budgeting, Auditing, Payroll, Cash Control, Accounts Payable, Accounts Receivable, General Ledger, Financial Analysis, Financial Reporting, Tax Compliance, Manufacturing"
Project Accounting Manager,Robert Half,2024-01-12,United States,Accountant Cost,Mid senior,Onsite,Las Vegas,NV,United States,"Las Vegas, NV",36.233499,-115.264037,"Project Accounting, Construction Loan Draw, Financial Statements, Sage 300 CRE, Procore, Excel, Report Writing, Accounting Standards, General Ledger, Reconciliation, Budgeting, Cost Analysis, Forecasting, Internal Controls, Change Management, Revenue Recognition, Cost of Goods Sold, Intercompany Transactions, Leadership, Communication, Problem Solving, Teamwork, Mentoring, Multitasking, Proactive Planning"
Game Designer [73505],Onward Play,2024-01-12,United States,Agricultural-Research Engineer,Mid senior,Onsite,Reno,NV,United States,"Reno, NV",39.549097,-119.849907,"Gambling, Empathy, Slot machines, Casino games, Leadership, Guidance, Creative aspects, User experience, Gameplay, Interface, Animation, Sound, Art style, Product stakeholders, Features, Product schedules, Resource tradeoffs, Product documentation, Clear communication, Ideas, Concepts, Requirements, Game concepts, Company strategy, Product strategy, Game design, Graphic design, Mathematics, Computer science, Video game development, Software game development, Microsoft Office, Adobe Creative Suite, Competitive salary, Benefits package, Comprehensive healthcare, Retirement savings, Discretionary Time Off (DTO)"
First Year Tax Professional,H&R Block,2024-01-12,United States,Accountant Cost,Mid senior,Onsite,Las Vegas,NV,United States,"Las Vegas, NV",36.233499,-115.264037,"Customer service, Retail, Sales, Marketing, IRS tax requirements, Facetoface communication, Virtual communication, H&R Block Income Tax Course, High school diploma or equivalent, Teamwork, Collaboration"
Manager - Patch Management,The Venetian Resort Las Vegas,2024-01-13,United States,Manager Display,Mid senior,Onsite,Las Vegas,NV,United States,"Las Vegas, NV",36.233499,-115.264037,"Microsoft System Center Configuration Manager (SCCM), Microsoft Endpoint Configuration Manager, Windows registry, Group policy processing, Nevada Gaming Control Board Registration, CompTIA Security+, ISC2 Certified Information Systems Security Professional (CISSP), Flexera Admin Studio, Install Shield, Enterprise Packaging Software, Information Technology Infrastructure Library (ITIL), Service Level Agreements (SLAs), Written and verbal communication, Interpersonal skills, Troubleshooting, Problemsolving, Leadership"
"On-Demand: Guest Advocate (Cashier), General Merchandise, Fulfillment, Food and Beverage, Style (T1860)",Target,2024-01-12,United States,Car Hop,Mid senior,Onsite,Oklahoma City,OK,United States,"Oklahoma City, OK",35.467079,-97.513657,"Team work, Communication, Problem solving, Decision making, Adaptability, Attentive attitude, Attention to detail, Multitasking, Education, Sales, Technology, Flexibility, Cash handling, Merchandise handling, Scanning, Bagging, ADA compliance"
Sr. Cost Accountant,CyberCoders,2024-01-12,United States,Accountant,Mid senior,Onsite,Reno,NV,United States,"Reno, NV",39.549097,-119.849907,"Cost Accounting, Manufacturing Costs, Inventory Valuation, CostSaving Ideas, Bills of Materials Management, Routing Management, Utilization Metrics, Efficiency Metrics, Labor and Burden Allocation, Standard Reporting, AdHoc Reporting, Fixed Asset Tracking, Depreciation, Monitoring, Documentation of Capital Projects, Research and Development Cost Tracking, MonthEnd Closing, Budget Forecasting, Cost Accounting System Data, Integrity of CostBuildups, SQL, ERP Software, Accounting Software, Infor VISUAL, Microsoft Office Suite, Bachelor's or Master's degree in Accounting, Finance, Cost Accounting, Integrated ERP System, CPA or CMA, Vacation, Paid Time Off, Medical, Dental, Vision, 401k, Bonus"
Esthetics Learning Leader (Educator),Paul Mitchell The School Las Vegas,2024-01-12,United States,Art Therapist,Mid senior,Onsite,Las Vegas,NV,United States,"Las Vegas, NV",36.233499,-115.264037,"Skincare skills, Cosmetology instruction, Communication skills, Presentation skills, Soft skills, Professional development skills, Teamwork, Supervision skills, Documentation skills, Paul Mitchell Schools' cultural and technical systems, Return on investment"
First Year Tax Professional,H&R Block,2024-01-14,United States,Tax Preparer,Mid senior,Onsite,Oklahoma City,OK,United States,"Oklahoma City, OK",35.467079,-97.513657,"Tax Interviews, Tax Returns, Business Growth, Client Retention, Effective Communication, H&R Block Income Tax Course, Continuing Education, High School Diploma, Customer Service, Retail, Sales, Marketing, FastPaced Environment, Medical Coverage, 401k Retirement Savings Plan, Employee Stock Purchase Plan, Tax Preparation, Flexible/Remote Opportunities, Collaborative Teams, Connected Culture, Diversity and Inclusion, Equal Opportunity Employer"
Palo Alto Firewall Specialist,Stellent IT,2024-01-14,United States,Special Effects Specialist,Mid senior,Onsite,Las Vegas,NV,United States,"Las Vegas, NV",36.233499,-115.264037,"Palo Alto Networks firewalls, Network installation, Troubleshooting, IT recruitment, Time management, Communication, Teamwork"
RN Case Manager,Charter Healthcare,2024-01-12,United States,Charter,Mid senior,Onsite,Henderson,NV,United States,"Henderson, NV",36.008958,-115.0268,"Nursing, Palliative Care, Home Health, Patient Care, Communication Skills, Medical Terminology, Electronic Medical Records (EMR), Pain Management, Symptom Control, Care Planning, Patient Education, Documentation, Scheduling, Safety, Quality Assurance, Regulatory Compliance, Continuing Education"
TITLE I INSTRUCTIONAL ASSISTANT-FITZGERALD ES.,Clark County School District,2024-01-16,United States,Identification Clerk,Mid senior,Onsite,North Las Vegas,NV,United States,"North Las Vegas, NV",36.289865,-115.089181,"High school diploma or equivalent, 48 college credit hours or passing ETS ParaPro assessment, Valid driver's license or state ID, CPR/AED certification from AHA Red Cross or similar, High school transcript or equivalent, College transcript or passing ETS ParaPro assessment"
2023-2024 Special Education Instructional Facilitator- Dailey ES,Clark County School District,2024-01-12,United States,Art Therapist,Mid senior,Onsite,Las Vegas,NV,United States,"Las Vegas, NV",36.233499,-115.264037,"Bachelor's Degree, 3 years Special Education Teaching Experience, Nevada Teaching License, Special Education Endorsement, Driver's License or State ID, SchoolBased Specialist, Tier I Title 1 ES"
"Customer Service Representative, Cashier 116",Conn's HomePlus,2024-01-12,United States,Check Cashier,Mid senior,Onsite,Oklahoma City,OK,United States,"Oklahoma City, OK",35.467079,-97.513657,"Customer service, Cash handling, Credit card processing, Financing options, Checkout experience, Sales goals, Customer service goals, Payment processing, Standing for long periods of time, Interpersonal skills, Communication skills, Teamwork, Accuracy, Efficiency, Security procedures, Theft prevention, Safe working environment, Merchandise awareness, Promotions, Call routing, Message delivery, Customer relationships, Store reports, Confidentiality, Honesty, Integrity, Problemsolving skills, Learning new technology systems, Adapting to change, Flexibility, Attention to detail, Multitasking, Prioritization"
2023-2024 Behavior Learning Strategist K-5 - ADAMS ES,Clark County School District,2024-01-12,United States,Art Therapist,Mid senior,Onsite,Las Vegas,NV,United States,"Las Vegas, NV",36.233499,-115.264037,"Teaching License, Driver's License, Education, SchoolBased Specialist"
General Education Instructor,Carrington College California-Sacramento,2024-01-12,United States,Art Therapist,Mid senior,Onsite,Las Vegas,NV,United States,"Las Vegas, NV",36.233499,-115.264037,"General Education Instructor, Teaching, Learning, Curriculum, Course syllabi, Academic Dean, Program Director, Campus Director, Master's Degree, Graduate hours"
Title I Specialized Programs Teacher Assistant III-ECSE-KIDS- W. Snyder ES.,Clark County School District,2024-01-13,United States,Program Coordinator,Mid senior,Onsite,Las Vegas,NV,United States,"Las Vegas, NV",36.233499,-115.264037,The context does not mention anything about techinical skills frameworks languages softwares concepts and requirements.
Project Manager - DOT/Civil Construction,Jobot,2024-01-12,United States,Building Consultant,Mid senior,Onsite,Oklahoma City,OK,United States,"Oklahoma City, OK",35.467079,-97.513657,"Construction project management, DOT regulations, Project planning, Design, Procurement, Execution, Monitoring, Control, Closure, Scheduling, Reporting, Quality standards, Safety regulations, Risk management, Stakeholder communication, Leadership, Management, Motivation, Problemsolving, Communication, Negotiation, Construction management software tools, Construction plans interpretation, PMP certification"
Psychologist (Integrated Behavioral Health Care),U.S. Department of Veterans Affairs,2024-01-13,United States,Program Coordinator,Mid senior,Onsite,Reno,NV,United States,"Reno, NV",39.549097,-119.849907,"Clinical psychology, Counseling psychology, Healthcare, Mental health, Psychology, Psychotherapist, Social work, Substance abuse, Cognitive Behavioral Therapy, Motivational interviewing, Psychoeducation, Psychological interventions, Biofeedback, Hypnosis, Behavioral interventions, Medical disorders, Rehabilitation, Psychological clinical science, Clinical neuropsychology, School psychology, Board certified by the American Board of Professional Psychology, Full current and unrestricted license to practice psychology, APA accredited, CPA accredited, U.S. Citizen, Proficient in written and spoken English, Pass preemployment physical examination, U.S. Department of Education accredited college or university, Must have doctoral degree in psychology, Must pass urinalysis to screen for illegal drug use"
Travel Nurse - RN - IMCU - Intermediate Care Unit,Nationwide Therapy Group,2024-01-12,United States,Christian Science Nurse,Mid senior,Onsite,Reno,NV,United States,"Reno, NV",39.549097,-119.849907,"Intermediate Care Unit Registered Nurse, Travel Nursing, Healthcare Staff, Nursing, Allied Health, Rehab Therapy, Traveler Empowerment, Traveler Education, Healthcare Contract Work"
Dispensary Shift Supervisor (Twain),Jushi Holdings Inc.,2024-01-13,United States,Manager Customer Service,Mid senior,Onsite,Las Vegas,NV,United States,"Las Vegas, NV",36.233499,-115.264037,"Customer service, Dispensary operations, Inventory management, Sales, POS systems, Credit card processing, Data entry, Communication, Teamwork, Leadership, Biology, Medicine, Horticulture, Agriculture, Business, Management, Service, Hospitality, High school diploma or GED, Associate's or bachelor's degree, Computer skills, Technical skills, Critical thinking, Attention to detail, Mathematical skills, Language skills, Reasoning skills, Cash handling, Physical strength, Ability to work a flexible schedule, Ability to work in a noisy environment"
"Psychiatric-Mental Health Physician - $175,000/yearly - $225,000/yearly",DocCafe,2024-01-12,United States,Art Therapist,Mid senior,Onsite,Las Vegas,NV,United States,"Las Vegas, NV",36.233499,-115.264037,"Physician, PsychiatricMental Health, Fulltime, Las Vegas Nevada, DocCafe, Physician assistant, Healthcare, Professional Profile, CV, Credentials, Medical professional information, Confidentiality, Career Matching Support"
"Operations Professional- Las Vegas, Crystals",Tiffany & Co.,2024-01-13,United States,Manager Customer Service,Associate,Onsite,Las Vegas,NV,United States,"Las Vegas, NV",36.233499,-115.264037,"Retail operations, Sales support, Merchandising, Client service, Administration, Shipping, Analytical skills, Microsoft Word, Microsoft Excel, Retail store hours, Organized, Detail oriented, Flexibility, Authorization to work, College/university degree, Graduate Gemologist degree, Gemological Institute of America (GIA) course work, NPS program, Sales plan, Inventory accuracy, Quality control, Conflict Minerals Policy, Tiffany Touch, Operational policies, Customer data"
Swatch Assistant Store Manager - New York New York Hotel (Las Vegas),Swatch Ltd.,2024-01-13,United States,Manager Customer Service,Associate,Onsite,Las Vegas,NV,United States,"Las Vegas, NV",36.233499,-115.264037,"Retail Management, Sales Management, Customer Service, Merchandise Standards, Staff Development, Asset Protection, Communication, Creative Problem Solving, FastPaced Environment, Proactive"
Construction Project Manager / Superintendent,Rausch Coleman Homes,2024-01-12,United States,Building Consultant,Mid senior,Onsite,Tulsa,OK,United States,"Tulsa, OK",36.127949,-95.902316,"Construction management, Budget management, Quality control, Safety management, Blueprint reading, Floorplan interpretation, Problemsolving, Communication skills, Organization skills, Multitasking skills, Computer proficiency, Selfmotivation, Professionalism, Decisionmaking skills, Customer service experience, Alternative construction methods evaluation, Pushing and pulling heavy items, Lifting items of varying weights, Extended periods of standing or sitting, Stooping kneeling and bending, PPO and HDHP medical insurance, HSA with eligible HDHP, Dental and vision insurance, 401(k) with company match, Generous paid time off (PTO), Paid maternity and paternity leave, Adoption assistance and leave, Tuition assistance"
LEAD CASHIER (FULL TIME),Flik Hospitality Group,2024-01-12,United States,Check Cashier,Mid senior,Onsite,Oklahoma City,OK,United States,"Oklahoma City, OK",35.467079,-97.513657,"Cashier Skills, Hospitality Experience, POS Systems, Cash Handling, Customer Service, Problem Solving, Team Work, Communication, FrontEnd Operations, Policy Compliance, Loss Prevention, Scheduling, Merchandise Replenishment"
"Mid-Level Environmental Laboratory Chemist – Las Vegas, NV",TechLaw,2024-01-12,United States,Chemist,Mid senior,Onsite,Las Vegas,NV,United States,"Las Vegas, NV",36.233499,-115.264037,"Environmental Laboratory Chemist, Laboratory Information Management System (LIMS), Toxic Organic (TO) gas analysis, Volatile Organic Analysis (VOA), SemiVolatile Organic Analysis (SVOCA), Pesticide analysis, PCB analysis, GC/MS instrumentation, Air monitoring, Data interpretation and evaluation, Electronic Data Package (EDP), Proficiency with Word Excel PowerPoint and Outlook, Strong multitasking skills, Ability to troubleshoot problems and work independently, 40 or 24 Hour HAZWOPER certification, Field sampling and data collection, Data validation, Excellent teamwork and interpersonal skills, Strong written and oral communication skills, Organizational skills, Ability to work in a fastpaced environment, Ability to lift 50 lbs and work in all weather conditions, Ability to travel 25% of the time"
"Critical Care Nurse Practitioner or Physician Assistant – Owasso, OK",Sound Physicians,2024-01-13,United States,Home Attendant,Mid senior,Onsite,Owasso,OK,United States,"Owasso, OK",36.287217,-95.835365,"Critical Care, Advanced Practice Provider (APP), Sound Core Values, Teamwork, Quality, Innovation, Onboarding, Training, Professional Development, Feedback, Clinical Performance, Central Lines, Intubations, Arterial Lines, Chest Tubes, Medical, Surgical, Multidisciplinary Rounds, ProblemSolving, Unrestricted License, Acute Care, NP/PA Experience, ICU, Owasso, Tulsa, Rogers County, Quality of Life"
"HR Business Advisor, Global Shared Services Tulsa",Ingredion Incorporated,2024-01-13,United States,Manager Personnel,Mid senior,Onsite,Tulsa,OK,United States,"Tulsa, OK",36.127949,-95.902316,"HR Business Partner, Talent Management, Employee Engagement, Capability Building, Change Management, HR Strategy, Organizational Effectiveness, Workforce Planning, Talent Development, Performance Management, Employee Relations, Organizational Culture, Inclusive Work Environment, Project Management, Presentation Skills, Communication Skills, Mentoring, Consulting Agility, Business Fluency, Collaboration, SharedService Environment, Employment Law, Conflict Resolution, Adaptability, Relationship Building, Communication, Coaching, ProblemSolving, DecisionMaking, Team Leadership, Resource Management, Strategic Thinking, Analytical Skills, Attention to Detail, Time Management"
Volunteer: Market2You Driver,The Just One Project,2024-01-12,United States,Auxiliary-Equipment Operator,Associate,Onsite,Las Vegas,NV,United States,"Las Vegas, NV",36.233499,-115.264037,"Volunteerism, Food Distribution, NonPerishable Food, Fresh Fruits, Vegetables, Senior Nutrition, Driver's License, Car Insurance, Scheduling, Route Planning, Delivery, Lifting, Waiver, Website, Electronic Signature"
Volunteer Driver,VolunteerMatch,2024-01-12,United States,Auxiliary-Equipment Operator,Associate,Onsite,Henderson,NV,United States,"Henderson, NV",36.008958,-115.0268,"Volunteer, Transportation, Seniors, Henderson Nevada, Companionship, Community resources, Own personal vehicle, Grocery delivery, Medical appointments, Grocery store, Food pantries, Errands, Monday, Saturday, 7:00 AM, 6:00 PM, Henderson city limits, Valley"
Medical Technologist,Sunrise Hospital,2024-01-12,United States,Biologist,Mid senior,Onsite,Las Vegas,NV,United States,"Las Vegas, NV",36.233499,-115.264037,"Medical Technology, Bachelor's degree, National certification, ASCP certification, State of Nevada certification, Medical Technologist experience, Clinical laboratory experience, Children's hospital experience, Advanced healthcare services, Comprehensive stroke center, Ethical healthcare practices, Patientcentered care, Warmth compassion and dignity, Equal opportunity employer, Diversity"
Senior Construction Superintendent (Commercial/Multifamily),Tiello,2024-01-15,United States,Assistant Construction Superintendent,Mid senior,Onsite,Henderson,NV,United States,"Henderson, NV",36.008958,-115.0268,"Superintendent, Commercial Construction, Multifamily Construction, GroundUp Construction, Project Management, Scheduling, Material and Equipment Purchasing, Exterior and Interior Finishes, TiltUp Construction, Microsoft Office, US Work Authorization"
General Education Instructor,Carrington College,2024-01-12,United States,Art Therapist,Mid senior,Onsite,Las Vegas,NV,United States,"Las Vegas, NV",36.233499,-115.264037,"Carrington College, General Education Instructor, Las Vegas Campus, Flexible schedules, Leadership opportunities, Professional development, Master's Degree, Teaching area, Graduate hours"
Locum | Physician Radiology,Weatherby Healthcare,2024-01-12,United States,Charter,Mid senior,Onsite,Oklahoma City,OK,United States,"Oklahoma City, OK",35.467079,-97.513657,"DEA, Healthcare, MRI, Biopsies, Screenings, 3D tomosynthesis, Malpractice insurance, Online portal, Travel expenses, Housing expenses"
Drive Captain,AmeriPark,2024-01-12,United States,Charter,Mid senior,Onsite,Oklahoma City,OK,United States,"Oklahoma City, OK",35.467079,-97.513657,"Valet Parking, Team Leadership, Revenue Reporting, Equipment Maintenance, Client Relations, Hospitality Industry Experience, Scheduling, Operational Reporting, Tardiness Reporting, Uniform Issues Reporting, Behavioral Issues Reporting, Claim Reporting, Revenue Collection, Time and Attendance Reporting, Tip Distribution, Customer Service Initiatives, Daily Game Plans, Directing Teams, Leadership, Project Management, Hospitality Operations, Windows PC Proficiency, Revenue Handling, Availability"
LEAD SALES ASSOCIATE-FT,Dollar General,2024-01-12,United States,Check Cashier,Mid senior,Onsite,The Village,OK,United States,"The Village, OK",35.570276,-97.557499,"Customer service, Cash register operation, Stocking, Cleaning, Planogram implementation, Store opening and closing, Interpersonal communication, Oral communication, Safety policies, Planogram reading, Mathematical calculations, Cash handling, Cashier accountability, Deposit control, Driving, High school diploma, Supervisory experience, Walking, Standing, Bending, Stooping, Kneeling, Lifting, Climbing, Fastpaced environment, Noise level, Weather conditions, Driving"
Outpatient Clinic Nurse,Serenity Healthcare,2024-01-12,United States,Christian Science Nurse,Associate,Onsite,Las Vegas,NV,United States,"Las Vegas, NV",36.233499,-115.264037,"IV administration, Registered Nurse license, Electronic medical records, Patient education, Patient support, Communication, Adaptability, Interpersonal skills, Ketamine IV treatments, Transcranial Magnetic Stimulation (TMS)"
